"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Way Towards Explainable AI Using Neuro-Fuzzy System","H. Garg","Department of Computer Engineering and Applications, GLA University, Mathura, India",2021 5th International Conference on Information Systems and Computer Networks (ISCON),"14 Feb 2022","2021","","","1","6","In the field of AI, machine learning (ML) plays important role. Mostly ML models are like black box, in which we give some set of inputs to the model and that model trained itself to do prediction or classification. But these models especially complex models like Deep learning models not able to justify the outcome, means how the outputs come. The unexplainability of artificial intelligence models draws a lot of attention to researchers, as it limits the applications in various fields like medical, finance, research etc. So, there should be a method which makes any AI model trustable and transparent, so that any individual or government agency can use AI technology without any hesitation. In this paper a new model of XAI is introduced, in which a Neuro-fuzzy hybrid model is present. This new concept idea can be used to describe the working system of any ML model.","","978-1-6654-0341-2","10.1109/ISCON52037.2021.9702385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9702385","Explainable AI;Machine learning;Neuro-fuzzy model","Human computer interaction;Deep learning;Computational modeling;Government;Decision making;Finance;Predictive models","","","","28","IEEE","14 Feb 2022","","","IEEE","IEEE Conferences"
"AutoRIO: An Indoor Testbed for Developing Autonomous Vehicles","M. Loni; M. Daneshtalab; M. Sjödin; F. Hamouachy; C. Casarrubios","School of Innovation, Design and Engineering, Mälardalen University, Västeras, Sweden; School of Innovation, Design and Engineering, Mälardalen University, Västeras, Sweden; School of Innovation, Design and Engineering, Mälardalen University, Västeras, Sweden; Department of Microelectronics and automation, University of Montpellier, Montpellier, France; Department of Microelectronics and automation, University of Montpellier, Montpellier, France","2018 International Japan-Africa Conference on Electronics, Communications and Computations (JAC-ECC)","4 Apr 2019","2018","","","69","72","Autonomous vehicles have a great influence on our life. These vehicles are more convenient, more energy efficient providing higher safety level and cheaper driving solutions. In addition, decreasing the generation of CO2, and the risk vehicular accidents are other benefits of autonomous vehicles. However, leveraging a full autonomous system is challenging and the proposed solutions are newfound. Providing a testbed for evaluating new algorithms is beneficial for researchers and hardware developers to verify the real impact of their solutions. The existence of testing environment is a low-cost infrastructure leading to increase the time-to-market of novel ideas. In this paper, we propose Auto Rio, a cutting-edge indoor testbed for developing autonomous vehicles.","","978-1-5386-9230-1","10.1109/JEC-ECC.2018.8679543","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8679543","Autonomous Vehicles;Embedded Systems;Near-Sensor Processing","Laser radar;Autonomous vehicles;Field programmable gate arrays;Hardware;DC motors;Computer architecture","","","","6","IEEE","4 Apr 2019","","","IEEE","IEEE Conferences"
"Critical and Challenging Scenario Generation based on Automatic Action Behavior Sequence Optimization: 2021 IEEE Autonomous Driving AI Test Challenge Group 108","D. Kaufmann; L. Klampfl; F. Klück; M. Zimmermann; J. Tao","Christian Doppler Laboratory for Quality Assurance Methodologies for Autonomous Cyber-Physical Systems, Institute for Software Technology, Graz University of Technology, Graz, Austria; Christian Doppler Laboratory for Quality Assurance Methodologies for Autonomous Cyber-Physical Systems, Institute for Software Technology, Graz University of Technology, Graz, Austria; Christian Doppler Laboratory for Quality Assurance Methodologies for Autonomous Cyber-Physical Systems, Institute for Software Technology, Graz University of Technology, Graz, Austria; Christian Doppler Laboratory for Quality Assurance Methodologies for Autonomous Cyber-Physical Systems, Institute for Software Technology, Graz University of Technology, Graz, Austria; AVL List GmbH, Graz, Austria",2021 IEEE International Conference on Artificial Intelligence Testing (AITest),"14 Oct 2021","2021","","","118","127","Assuring the safety of automated and autonomous driving functions is crucial for a safe deployment of self-driving vehicles on public roads. This includes the need for automated virtual testing methods and exhaustive search for critical scenarios that potentially reveal faults in the driving feature under test. In the past, researches have demonstrated the effectiveness of search-based testing to create situations that result in unintended behavior of the driving feature. In this paper, we contribute to this field of research by developing a method for automated generation of diverse critical scenarios based on a search algorithm that iterative optimizes behavior action sequences of the surrounding traffic participants towards critical situations. Utilizing the provided LG SVL Simulator pipeline, our method effectively generated both critical and challenging test scenarios that either revealed faulty behavior of the ego-vehicle (crash or near-crash) or showed extraordinary behavior of the surrounding traffic participants (e.g. approaching traffic on wrong lane).","","978-1-6654-3481-2","10.1109/AITEST52744.2021.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564386","search-based testing;test automation;ADAS testing;V&V of ADAS","Roads;Conferences;Pipelines;Iterative algorithms;Safety;Artificial intelligence;Optimization","","11","","8","IEEE","14 Oct 2021","","","IEEE","IEEE Conferences"
"Design of diagnosis service system for self-driving vehicles - Learnings from the driver’s role today","L. Rylander; M. Eneberg; J. Mårtensson; A. Pernestål","Integrated Transport Research Lab, KTH Royal Institute of Technology Scania CV AB, Stockholm, Sweden; Division of Integrated Product Development and Design, KTH Royal Institute of Technology, Stockholm, Sweden; Integrated Transport Research Lab and Division of Decision and Control Systems, KTH Royal Institute of Technology, Stockholm, Sweden; Integrated Transport Research Lab, KTH Royal Institute of Technology, Stockholm, Sweden",2021 Global Reliability and Prognostics and Health Management (PHM-Nanjing),"24 Nov 2021","2021","","","1","8","The drivers play an essential role in detecting and handling vehicle faults, and they are an important actor in the diagnosis service system. When developing self-driving vehicles, exploring the driver’s role could create knowledge regarding the reconsiderations needed when designing a diagnosis service system with no driver present. The aim of this paper is to increase the understanding of the driver’s role in fault detection and troubleshooting and how a control tower can support self-driving vehicles. A service design research study has been performed. Based on semi-structured interviews and a workshop, a system map, information flowchart, and decision-making process have been developed. Furthermore, a scenario is used to exemplify how a control tower can support a diagnosis service system for self-driving vehicles. Finally, examples are given to show how a control tower operator can replace actions and decisions that are currently handled onboard the vehicle by the driver.","","978-1-6654-0131-9","10.1109/PHM-Nanjing52125.2021.9613093","Vinnova; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613093","Self-driving vehicles;Autonomous vehicles;Diagnosis service system;Traffic control tower","Flowcharts;Fault detection;Conferences;Poles and towers;Decision making;Reliability engineering;Control systems","","1","","33","IEEE","24 Nov 2021","","","IEEE","IEEE Conferences"
"Testing Scenario Library Generation for Connected and Automated Vehicles, Part I: Methodology","S. Feng; Y. Feng; C. Yu; Y. Zhang; H. X. Liu","Department of Automation, Tsinghua University, Beijing, China; University of Michigan Transportation Research Institute, Ann Arbor, MI, USA; Key Laboratory of Road and Traffic Engineering of the Ministry of Education, Tongji University, Shanghai, China; Department of Automation, Tsinghua University, Beijing, China; Department of Civil and Environmental Engineering, University of Michigan, Ann Arbor, MI, USA",IEEE Transactions on Intelligent Transportation Systems,"1 Mar 2021","2021","22","3","1573","1582","Testing and evaluation is a critical step in the development and deployment of connected and automated vehicles (CAVs), and yet there is no systematic framework to generate testing scenario library. This study aims to provide a general framework for the testing scenario library generation (TSLG) problem with different operational design domains (ODDs), CAV models, and performance metrics. Given an ODD, the testing scenario library is defined as a critical set of scenarios that can be used for CAV test. Each testing scenario is evaluated by a newly proposed measure, scenario criticality, which can be computed as a combination of maneuver challenge and exposure frequency. To search for critical scenarios, an auxiliary objective function is designed, and a multi-start optimization method along with seed-filling is applied. Theoretical analysis suggests that the proposed framework can obtain accurate evaluation results with much fewer number of tests, if compared with the on-road test method. In part II of the study, three case studies are investigated to demonstrate the proposed method. Reinforcement learning based technique is applied to enhance the searching method under high-dimensional scenarios.","1558-0016","","10.1109/TITS.2020.2972211","US Department of Transportation (USDOT) Region 5 University Transportation Center: Center for Connected and Automated Transportation (CCAT) of the University of Michigan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8998589","Connected and automated vehicles;testing scenario library;safety;functionality","Testing;Libraries;Measurement;Safety;Roads;Vehicle dynamics;Search problems","","113","","45","IEEE","13 Feb 2020","","","IEEE","IEEE Journals"
"Fundamental Considerations around Scenario-Based Testing for Automated Driving","C. Neurohr; L. Westhofen; T. Henning; T. de Graaff; E. Möhlmann; E. Böde","OFFIS e.V., Oldenburg, Germany; OFFIS e.V., Oldenburg, Germany; OFFIS e.V., Oldenburg, Germany; OFFIS e.V., Oldenburg, Germany; OFFIS e.V., Oldenburg, Germany; OFFIS e.V., Oldenburg, Germany",2020 IEEE Intelligent Vehicles Symposium (IV),"8 Jan 2021","2020","","","121","127","The homologation of automated vehicles, being safety-critical complex systems, requires sound evidence for their safe operability. Traditionally, verification and validation activities are guided by a combination of ISO 26262 and ISO/PAS 21448, together with distance-based testing. Starting at SAE Level 3, such approaches become infeasible, resulting in the need for novel methods. Scenario-based testing is regarded as a possible enabler for verification and validation of automated vehicles. Its effectiveness, however, rests on the consistency and substantiality of the arguments used in each step of the process. In this work, we sketch a generic framework around scenario-based testing and analyze contemporary approaches to the individual steps. For each step, we describe its function, discuss proposed approaches and solutions, and identify the underlying arguments, principles and assumptions. As a result, we present a list of fundamental considerations for which evidences need to be gathered in order for scenario-based testing to support the homologation of automated vehicles.","2642-7214","978-1-7281-6673-5","10.1109/IV47402.2020.9304823","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9304823","","Safety;Testing;ISO Standards;Accidents;Tools;Terminology;Systematics","","46","","49","IEEE","8 Jan 2021","","","IEEE","IEEE Conferences"
"Autonomous Vehicles Scenario Testing Framework and Model of Computation: On Generation and Coverage","A. J. Alnaser; A. Sargolzaei; M. I. Akbaş","Department of Applied Mathematics, Florida Polytechnic University, Lakeland, FL, USA; Mechanical Engineering Department, Tennessee Technological University, Cookeville, TN, USA; Department of Electrical Engineering and Computer Science, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA",IEEE Access,"23 Apr 2021","2021","9","","60617","60628","Autonomous vehicle (AV) technology started to shift the perception of the transportation systems. However, for AVs to operate at their optimum capabilities, they need to go through a comprehensive testing and verification process. While a large amount of research and funding has been provided for solving this problem, there is still a lack of a systematic method to develop standardized tests that can be used to judge if the decision-making capability functions are within acceptable parameters. To that end, the tests need to cover all possible situations that an AV may run into. This paper focuses on defining the notion of coverage mathematically when using pseudo-randomly generated simulations for testing. The approach defines new equivalence relations between scenes, which are the systems’ various states, to achieve this goal. Considering the substantial need for computation, even with the obtained coverage, we also introduce the mathematical definition of a sub-scene and additional strategies, such as expanding the equivalence classes of scenes and combining actors in scenes, to reduce the amount of testing required to certify AVs.","2169-3536","","10.1109/ACCESS.2021.3074062","National Science Foundation(grant numbers:CNS-1919855); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9406805","Autonomous vehicles;coverage;model of computation;safety;testing and verification framework","Testing;Mathematical model;Roads;Autonomous vehicles;Vehicle dynamics;Systematics;Decision making","","10","","25","CCBY","19 Apr 2021","","","IEEE","IEEE Journals"
"Autonomous Car Based on Teaching-and-Playback Control","N. C. Basjaruddin; K. A. Baki; Suhendar","Department of Electrical Engineering, Politeknik Negeri Bandung, Bandung, Indonesia; Department of Electrical Engineering, Politeknik Negeri Bandung, Bandung, Indonesia; Department of Electrical Engineering, Politeknik Negeri Bandung, Bandung, Indonesia",2020 International Conference on Applied Science and Technology (iCAST),"12 Oct 2021","2020","","","657","661","Autonomous cars or self-controlled cars are now starting to be used in general. In a limited work area, an autonomous vehicle that operates without the use of sensors and processors with high specifications can be developed. The vehicle will advance by using the trip data that has been taught previously. One of the methods of control that makes it possible to realize autonomous vehicles with a limited work area is the teaching and playback method. In this research, a remote control car is used for hardware simulation. When the car teaching mode is run via an android based remote control, while in playback mode the data stored in memory is read line-to-line to run the car. The test results produce data on the success rate of testing straight steering 80%, 60% right-turning steering, 60% left-turning steering, 70% turning right-turning steering wheel to destination 70%, and steering turning right turning left according to route and up to 60% destination.","","978-1-7281-9567-4","10.1109/iCAST51016.2020.9557727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9557727","autonomous vehicles;self-controlled cars;teaching and playback controls","Education;Wheels;Process control;Turning;Autonomous automobiles;Sensors;Automobiles","","3","","13","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"PAVES: Partnering with autonomous vehicles, environments, and systems","U. Krishnamurthy; P. P. Maglio","Cognitive and Information Sciences/University of California, Merced, USA; Cognitive and Information Sciences/University of California, Merced, USA","2016 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","9 Feb 2017","2016","","","003381","003386","Despite the growing prominence and capabilities of self-driving cars, little is known about human interaction with such autonomous vehicles. We are studying human interaction with multiple levels of automation and navigation in a simple driving simulator to discover principles for interaction design that encourage effective partnership between people and automated vehicles. We have conducted two experiments so far. In the first, participants completed driving tasks based on two different factors: automated versus manual control and navigation in low-level versus high-level language, which were combined via a factorial design into four conditions for each participant in the form of different driving scenarios. Performance was measured by travel time, frequency of driving and navigational errors, and levels of user satisfaction. The second iteration had all automated driving, with participants merely supervising while we gave varying amounts of verbal input.","","978-1-5090-1897-0","10.1109/SMC.2016.7844756","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844756","automation;cars;navigation;self-driving","Navigation;Manuals;Automation;Atmospheric measurements;Particle measurements","","","","17","IEEE","9 Feb 2017","","","IEEE","IEEE Conferences"
"Research on Low Speed Unmanned Vehicle Simulation Testing Based on Vehicle in the Loop","Z. Jin; Q. Zhang; C. Li; Y. Wang; Z. Du","Automotive Data of China (Tianjin) Co., Ltd., Tianjin, China; Automotive Data of China (Tianjin) Co., Ltd., Tianjin, China; Automotive Data of China (Tianjin) Co., Ltd., Tianjin, China; Automotive Data of China (Tianjin) Co., Ltd., Tianjin, China; Automotive Data of China (Tianjin) Co., Ltd., Tianjin, China",2023 International Conference on Intelligent Management and Software Engineering (IMSE),"2 Apr 2024","2023","","","157","160","With the continuous strengthening of the demand for autonomous driving technology and urban intelligent development, as well as the improvement of work efficiency, the demand for unmanned equipment is constantly showing especially in scenarios such as terminal logistics distribution, environmental cleaning, and security emergency support. Low speed unmanned vehicles have gradually entered the public’s view and are considered the most likely unmanned driving technology application to achieve commercial operation in the short term. Test evaluation is an important part of the development process of low-speed unmanned vehicle, which can improve the development efficiency of auto drive system. This article builds a vehicle in the loop simulation testing platform, and proposes to construct an autonomous driving function testing project suitable for low-speed unmanned vehicles based on the system scheme and design operating conditions, in order to improve the development efficiency of low-speed unmanned vehicles.","","979-8-3503-9414-6","10.1109/IMSE61332.2023.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10483412","Low speed unmanned vehicle;Vehicle In The Loop;Simulation test;Functional safety","Cleaning;Systems simulation;Safety;Security;Autonomous vehicles;Testing;Software engineering","","1","","13","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"ROCAS: Root Cause Analysis of Autonomous Driving Accidents via Cyber-Physical Co-mutation","S. Feng; Y. Ye; Q. Shi; Z. Cheng; X. Xu; S. Cheng; H. Choi; X. Zhang","Purdue University, West Lafayette, USA; Purdue University, West Lafayette, USA; The State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Purdue University, West Lafayette, USA; Purdue University, West Lafayette, USA; Purdue University, West Lafayette, USA; DGIST, Daegu, South Korea; Purdue University, West Lafayette, USA",2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"29 Nov 2024","2024","","","1620","1632","As Autonomous driving systems (ADS) have transformed our daily life, safety of ADS is of growing significance. While various testing approaches have emerged to enhance the ADS reliability, a crucial gap remains in understanding the accidents causes. Such post-accident analysis is paramount and beneficial for enhancing ADS safety and reliability. Existing cyber-physical system (CPS) root cause analysis techniques are mainly designed for drones and cannot handle the unique challenges introduced by more complex physical environments and deep learning models deployed in ADS. In this paper, we address the gap by offering a formal definition of ADS root cause analysis problem and introducing Rocas, a novel ADS root cause analysis framework featuring cyber-physical co-mutation. Our technique uniquely leverages both physical and cyber mutation that can precisely identify the accident-trigger entity and pinpoint the misconfiguration of the target ADS responsible for an accident. We further design a differential analysis to identify the responsible module to reduce search space for the misconfiguration. We study 12 categories of ADS accidents and demonstrate the effectiveness and efficiency of Rocas in narrowing down search space and pinpointing the misconfiguration. We also show detailed case studies on how the identified misconfiguration helps understand rationale behind accidents.","2643-1572","979-8-4007-1248-7","","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765037","","Deep learning;Root cause analysis;Safety;Reliability;Object recognition;Autonomous vehicles;Accidents;Testing;Software engineering;Drones","","1","","94","","29 Nov 2024","","","IEEE","IEEE Conferences"
"The improved pure pursuit algorithm for autonomous driving advanced system","W. -J. Wang; T. -M. Hsu; T. -S. Wu","Electronic control technology group, Automotive Research and Testing Center (ARTC), Changhua County, R.O.C; Electronic control technology group, Automotive Research and Testing Center (ARTC), Changhua County, R.O.C; Electronic control technology group, Automotive Research and Testing Center (ARTC), Changhua County, R.O.C",2017 IEEE 10th International Workshop on Computational Intelligence and Applications (IWCIA),"14 Dec 2017","2017","","","33","38","The pure pursuit algorithm is one of the hottest research fields of autonomous driving advanced system as well as a major means for realizing intelligent operating of autonomous driving advanced system in future. This paper presents a thorough research on GPS automatic navigation technology of autonomous driving advanced system considering that working conditions and field conditions for the vehicle are complex and that there is a high requirement on the precision of the driving path of the vehicle. The advanced pure pursuit algorithm with 2-degree polynomial function in the vehicle velocity and the shortest distance between the GPS trajectory and current vehicle position was studied and analyzed. The proposed algorithm could calibrate the heading and steering angle of the vehicle and reduce lateral error when the vehicle tracking ideal path. Experimental results show that the algorithm is more accurate than the traditional algorithm by improving 54.54%.","","978-1-5386-0469-4","10.1109/IWCIA.2017.8203557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8203557","autonomous driving advanced system;pure pursuit;2-degree polynomial function","Global Positioning System;Pursuit algorithms;Wheels;Vehicle dynamics;Bicycles;Trajectory;Kinematics","","32","","13","IEEE","14 Dec 2017","","","IEEE","IEEE Conferences"
"Operational Design Domain-Driven Coverage for the Safety Argumentation of Automated Vehicles","P. Weissensteiner; G. Stettinger; S. Khastgir; D. Watzenig","Virtual Vehicle Research GmbH, Graz, Austria; Infineon Technologies AG, Neubiberg, Germany; International Manufacturing Centre, University of Warwick, Coventry, WMG, U.K.; Virtual Vehicle Research GmbH, Graz, Austria",IEEE Access,"10 Feb 2023","2023","11","","12263","12284","Automated Vehicles aim to increase road safety as automated driving systems (ADS) take over the human driving task in the operational design domain (ODD), introducing severe challenges for safety validation. Pure driving over many kilometers to gather enough evidence for a safety argument is not feasible. Scenario-based testing is an approach to overcome this, but challenges like parameter discretization still prevail, hindering safety assurance. This work proposes contributions towards a traceable and efficient safety argumentation for ADS built upon ODD coverage. First, ODD coverage is thoroughly quantified across all scenario levels, assuming distribution functions’ availability for the scenario parameters. Secondly, a sampling method for n-dimensional scenario parameter distributions is proposed. The provided algorithms adapt an initial k-means clustering using pre-defined boundary conditions requiring significantly fewer scenarios. Furthermore, a risk metric for urban intersections is presented for scenario evaluation. The risk metric consists of two parts, scene prediction of traffic participants (TPs) and risk assessment. The scene prediction uses a manoeuvre-based motion model with a data-driven approach towards trajectory prediction, increasing the validity. For the risk assessment, a probabilistic risk prediction for the TPs is performed for each scenario scene. The risk metric shows a reasonable tradeoff between sensitivity and specificity, outperforming time-to-collision. These contributions are exemplarily applied at an intersection using a simplified setup for generating TPs and ego vehicle trajectories. The results indicate that an increased safety argumentation is enabled using the proposed methods alongside a coverage process, facilitating further research.","2169-3536","","10.1109/ACCESS.2023.3242127","Competence Centers for Excellent Technologies (COMET) K2 Competence Centers for Excellent Technologies from the Austrian Federal Ministry for Climate Action (BMK); Austrian Federal Ministry for Digital and Economic Affairs (BMDW); Province of Styria (Dept. 12); Styrian Business Promotion Agency (SFG); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10036064","Automated vehicles;autonomous vehicles;automated driving;validation;coverage;operational design domain;automotive safety;vehicle safety;safety argumentation","Safety;Autonomous vehicles;Testing;Probability density function;Vehicle safety;Trajectory;Remotely guided vehicles","","15","","78","CCBY","3 Feb 2023","","","IEEE","IEEE Journals"
"PMWorld: A Parallel Testing Platform for Autonomous Driving in Mines","Y. Ai; Y. Liu; Y. Gao; C. Zhao; X. Cheng; J. Han; B. Tian; L. Chen; F. -Y. Wang","School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Waytous Inc., Qingdao, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Software Engineering, Xi'an Jiaotong University, Xi'an, China; State Key Laboratory for Management and Control of Complex Systems, Chinese Academy of Sciences, Beijing, China; State Key Laboratory for Management and Control of Complex Systems, Chinese Academy of Sciences, Beijing, China; State Key Laboratory for Management and Control of Complex Systems, Chinese Academy of Sciences, Beijing, China",IEEE Transactions on Intelligent Vehicles,"22 Feb 2024","2024","9","1","1402","1411","Autonomous driving will be widely deployed in the near future which can efficiently reduce the workload on human drivers. Unlike complicated urban driving conditions, fully autonomous driving is expected to be implemented in closed and relatively simple environments, e.g., mines. Autonomous driving in mines holds substantial practical value that can significantly reduce mining costs and enhance operational efficiency. To ensure vehicle safety, unmanned driving systems should be rigorously tested before deployment. With the rapid development of digital twin technology, offline testing in cyberspace has gained increasing significance. While numerous driving simulators have been recently released, none of them can support simulation tests in mines. In addition, due to the ignorance of human factors in the system, the digital twin in CPS (Cyber-Physical Systems) is inadequate for developing next-generation intelligent testing systems. To address these issues, we propose PMWorld (Parallel Mines World) based on parallel intelligence in this paper, which is a novel parallel testing platform for autonomous mining vehicles. It not only considers human behaviors during testing but also constitutes a closed loop between physical and virtual systems, allowing for more efficient testing methods. We also introduce the key technical infrastructures for constructing the PMWorld platform and present various testing functionalities supported by PMWorld, including HIL (Hardware-In-the-Loop) test, RIL (Road-In-the-Loop) test, virtual-real interactive test, and integrated test with the scheduling system.","2379-8904","","10.1109/TIV.2023.3332739","National Key R&D Program of China(grant numbers:2022YFB4703700); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316640","PMWorld (parallel mines world);parallel testing;mining autonomous driving","Testing;Autonomous vehicles;Processor scheduling;Digital twins;Computational modeling;Games;Engines","","9","","53","IEEE","14 Nov 2023","","","IEEE","IEEE Journals"
"Coverage Guided Differential Adversarial Testing of Deep Learning Systems","J. Guo; Y. Zhao; H. Song; Y. Jiang","KLISS, BNRist, the School of Software Engineering, Tsinghua University, Beijing, China; KLISS, BNRist, the School of Software Engineering, Tsinghua University, Beijing, China; Department of Electrical Engineering and Computer Science, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA; KLISS, BNRist, the School of Software Engineering, Tsinghua University, Beijing, China",IEEE Transactions on Network Science and Engineering,"7 Jul 2021","2021","8","2","933","942","Deep learning is increasingly applied to safety-critical application domains such as autonomous cars and medical devices. It is of significant importance to ensure their reliability and robustness. In this paper, we propose DLFuzz, the coverage guided differential adversarial testing framework to guide deep learing systems exposing incorrect behaviors. DLFuzz keeps minutely mutating the input to maximize the neuron coverage and the prediction difference between the original input and the mutated input, without manual labeling effort or cross-referencing oracles from other systems with the same functionality. We also design multiple novel strategies for neuron selection to improve the neuron coverage. The incorrect behaviors obtained by DLFuzz are then exploited for retraining and improving the dependability of the models. We present empirical evaluations on two well-known data-sets to demonstrate its effectiveness. Compared with DeepXplore, the state-of-the-art deep learning white-box testing framework, DLFuzz does not require extra efforts to find similar functional deep learning systems for cross-referencing check. But DLFuzz could generate $338.59\%$ more adversarial inputs with $89.82\%$ smaller perturbations, while maintaining the identities of the original inputs. DLFuzz also managed to averagely obtain $2.86\%$ higher neuron coverage, and save $20.11\%$ time consumption with respect to DeepXplore. We then evaluate the effectiveness of strategies for neuron selection, and demonstrated that all these strategies perform better than DeepXplore. Finally, DLFuzz proved to be able to improve the accuracy of deep learning systems by incorporating these adversarial inputs to retrain.","2327-4697","","10.1109/TNSE.2020.2997359","National Key Research and Development Project(grant numbers:2019YFB1706200); National Natural Science Foundation of China(grant numbers:U1911401,61802223); Huawei-Tsinghua Trustworthy Research Project(grant numbers:20192000794); Equipment Pre-research Project(grant numbers:61400010107); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9099600","Deep learning;dependability;adversarial testing;neuron coverage.","Machine learning;Neurons;Fuzzing;Perturbation methods;Robustness","","21","","37","IEEE","25 May 2020","","","IEEE","IEEE Journals"
"On Determinism of Game Engines Used for Simulation-Based Autonomous Vehicle Verification","G. Chance; A. Ghobrial; K. McAreavey; S. Lemaignan; T. Pipe; K. Eder","Department of Computer Science, Trustworthy Systems Laboratory, University of Bristol, Bristol, U.K; Department of Computer Science, Trustworthy Systems Laboratory, University of Bristol, Bristol, U.K; Department of Computer Science, Trustworthy Systems Laboratory, University of Bristol, Bristol, U.K; Bristol Robotics Laboratory, University of the West of England, Bristol, U.K; Bristol Robotics Laboratory, University of the West of England, Bristol, U.K; Department of Computer Science, Trustworthy Systems Laboratory, University of Bristol, Bristol, U.K",IEEE Transactions on Intelligent Transportation Systems,"8 Nov 2022","2022","23","11","20538","20552","Game engines are increasingly used as simulation platforms by the autonomous vehicle community to develop vehicle control systems and test environments. A key requirement for simulation-based development and verification is determinism, since a deterministic process will always produce the same output given the same initial conditions and event history. Thus, in a deterministic simulation environment, tests are rendered repeatable and yield simulation results that are trustworthy and straightforward to debug. However, game engines are seldom deterministic. This paper reviews and identifies the potential causes and effects of non-deterministic behaviours in game engines. A case study using CARLA, an open-source autonomous driving simulation environment powered by Unreal Engine, is presented to highlight its inherent shortcomings in providing sufficient precision in experimental results. Different configurations and utilisations of the software and hardware are explored to determine an operational domain where the simulation precision is sufficiently high i.e. variance between repeated executions becomes negligible for development and testing work. Finally, a method of a general nature is proposed, that can be used to find the domains of permissible variance in game engine simulations for any given system configuration.","1558-0016","","10.1109/TITS.2022.3177887","ROBOPILOT and CAPRI projects through the Centre for Connected and Autonomous Vehicles (CCAV), delivered in partnership with Innovate U.K(grant numbers:103703,103288); “UKRI Trustworthy Autonomous Systems Node in Functionality”(grant numbers:EP/V026518/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793395","Autonomous driving;autonomous vehicles;determinism;game engines;physics engines;verification and validation (V&V);simulation;testing","Engines;Games;Testing;Autonomous vehicles;Data models;Simulation;Computational modeling","","11","","58","CCBY","10 Jun 2022","","","IEEE","IEEE Journals"
"Applying Deep Learning to Autonomous Vehicles: A Survey","J. Ren; H. Gaber; S. S. Al Jabar","Dept. of Electrical and Computer Engineering, Ontario Tech University, Oshawa, ON, Canada; Faculty of Energy Systems and Nuclear Science, Ontario Tech University, Oshawa, ON, Canada; Dept. of Electrical and Computer Engineering, Ontario Tech University, Oshawa, ON, Canada",2021 4th International Conference on Artificial Intelligence and Big Data (ICAIBD),"28 Jun 2021","2021","","","247","252","Autonomous vehicles will revolutionize the future automotive industry by reducing or eliminating human errors and increasing vehicle safety. The design of autonomous vehicles will bring together many modern technologies such as control, computer vision, path planning, sensor fusion and fault diagnosis. Although traditional algorithms can be used to implement these technologies, in the last decade, deep learning has been proposed to challenge traditional algorithms and excels in many applications and research areas. Deep learning has shown its significant use in the design and operation of autonomous vehicles. In this paper, we will review the application of deep learning in five major research areas of autonomous vehicles i.e. path planning, control, computer vision, sensor fusion and fault diagnosis. Recent advances of the deep learning in autonomous vehicles will be reviewed and discussed.","","978-1-6654-1515-6","10.1109/ICAIBD51990.2021.9458968","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458968","deep learning;sensor fusion;computer vision;control;path planning;fault diagnosis and autonomous vehicles","Deep learning;Fault diagnosis;Industries;Computer vision;Vehicle safety;Neural networks;Sensor fusion","","9","","45","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
